imdbID,Title,Note
tt5052474,Sicario: Day of the Soldado,2018-07-19 | Sicario 2
tt5095030,Ant-Man and the Wasp,2018-07-26 | Ant-Man and the Wasp (2D/3D)
tt2854926,Tag,2018-07-26 | Catch me!
tt5897636,Estiu,2018-07-26 | Fridas Sommer
tt5480782,Good Manners,2018-07-26 | Gute Manieren
tt5834262,Hotel Artemis,2018-07-26
tt6144762,Coexister,"2018-07-26 | Lied in Gottes Ohr, Ein"
tt5093026,Papillon,2018-07-26
tt7120532,Il colore nascosto delle cose,"2018-07-26 | Verborgenen Farben der Dinge, Die"
tt5017134,8:30,2018-08-02
tt6079360,Todo sobre el Asado,"2018-08-02 | Asado, mein Lieblingsgericht aus Argentinien"
tt6987770,Destination Wedding,2018-08-02
tt8666494,Egal was kommt,2018-08-02
tt3563262,Submergence,2018-08-02 | Grenzenlos
tt4912910,Mission: Impossible - Fallout,2018-08-02 | Mission: Impossible - Fallout (3D)
tt8116550,Welcome to Sodom,2018-08-02
tt7105944,A casa tutti bene,2018-08-02 | Zu Hause ist es am schönsten
tt4086018,Prinz Charming,2018-08-05
tt6249434,Shelter/Refuge,2018-08-09 | Aus nächster Distanz
tt1289403,"Guernsey Literary and Potato Peel Pie Society, The",2018-08-09 | Deine Juliet
tt4940416,Duck Duck Goose,2018-08-09 | Gans im Glück
tt6186232,Itzhak,2018-08-09
tt4779682,"Meg, The",2018-08-09 | Meg (3D)
tt8500060,Sauerkrautkoma,2018-08-09
tt5649108,Thoroughbreds,2018-08-09 | Vollblüter
tt7137846,Breaking In,2018-08-16
tt4575576,Christopher Robin,2018-08-16
tt6288124,"Don't worry, he won't get far on foot","2018-08-16 | Don't worry, weglaufen geht nicht"
tt6923840,Normandie nue,"2018-08-16 | Dorf zieht blank, Ein"
tt3766354,"Equalizer 2, The",2018-08-16
tt5460924,Familie Brasch,* 2018-08-16
tt5212090,Finsteres Glück,2018-08-16
tt4103724,Forever my Girl,2018-08-16
tt6892206,Napoli Velata,"2018-08-16 | Geheimnis von Neapel, Das"
tt6752848,Bombshell - The Hedy Lamarr Story,2018-08-16 | Geniale Göttin - Die Geschichte von Hedy Lamarr
tt6096542,In the Middle of the River,2018-08-16
tt6175086,So was von da,2018-08-16
tt7424200,Teen Titans Go! To the Movies,2018-08-16
tt4073790,"Darkest Minds, The",2018-08-16 | The Darkest Minds - Die Überlebenden
tt6495770,Action Point,2018-08-23
tt7349662,BlacKkKlansman,2018-08-23
tt3104988,Crazy Rich Asians,2018-08-23 | Crazy Rich
tt7999770,"Doktor aus Indien, Der",2018-08-23
tt5591666,"Domestics, The",2018-08-23
tt7205942,Gundermann,2018-08-23
tt0063218,Lebenszeichen - Jüdischsein in Berlin,2018-08-23
tt6292090,Mein Name ist Somebody - Zwei Fäuste kehren zurück,2018-08-23
tt6002232,Jusqu'à la Garde/Custody,2018-08-23 | Nach dem Urteil
tt6964150,Silvana,* 2018-08-23
tt5690360,Slender Man,2018-08-23
tt6226610,En attendant les Hirondelles,2018-08-23 | Warten auf Schwalben
tt8765464,"1000 Glotzböbbel vom Dr. Mabuse, Die",2018-08-30
tt6175802,Asphaltgorillas,2018-08-30
tt6663582,"Spy who dumped me, The",2018-08-30 | Bad Spies
tt6918686,Breakdown in Tokyo,2018-08-30
tt8282042,Donbass,2018-08-30
tt2818726,Draussen,* 2018-08-30
tt8014110,Following Habeck,2018-08-30
tt7142712,"Grüner wird's nicht, sagte der Gärtner und flog davon",2018-08-30
tt7437638,Käpt'n Sharky,2018-08-30
tt6040662,"Children Act, The",2018-08-30 | Kindeswohl
tt7331414,Safari - Match me if you can,2018-08-30
tt4244998,Alpha,2018-09-06 | Alpha (3D)
tt3094252,Eho - Echo,* 2018-09-06
tt8084946,Embryo,* 2018-09-06
tt8782542,Gürbüz - Hadi Allah'a Emanet,2018-09-06
tt8661880,It must Schwing - The Blue Note Story,2018-09-06
tt6333086,Menashe,2018-09-06
tt4494230,Messi and Maud,2018-09-06
tt6497898,Mr. Gay Syria,* 2018-09-06
tt5814060,"Nun, The",2018-09-06
tt6558976,Palmyra,2018-09-06
tt7753296,Phantomschmerz,2018-09-06
tt7094966,Le Maître et L'Enfant,"2018-09-06 | Prinzip Montessori - Die Lust am Selber-Lernen, Das"
tt7776838,"Schönste Mädchen der Welt, Das",2018-09-06
tt8744094,Gogol - Strashnaya mest (Gogol - Schreckliche Rache),2018-09-09
tt5894846,Al Berto,2018-09-13
tt6857166,Book Club,2018-09-13 | Book Club - Das Beste kommt noch
tt5258726,Cobain,2018-09-13
tt8072488,Eingeimpft,2018-09-13
tt6752992,Lazzaro Felice,2018-09-13 | Glücklich wie Lazzaro
tt3892172,Leave No Trace,* 2018-09-13
tt6575280,Mackie Messer - Brechts Dreigroschenfilm,2018-09-13
tt4560436,Mile 22,2018-09-13
tt7705740,Naomis Reise,2018-09-13
tt6516734,Pettersson & Findus: Findus zieht um,2018-09-13
tt3829266,Predator,2018-09-13 | Predator - Upgrade (3D)
tt5791506,Seestück,2018-09-13
tt5942864,Styx,* 2018-09-13
tt7071250,Tian - Das Geheimnis der Schmuckstrasse,2018-09-13
tt6957844,Timebreakers und die rätselhaften Grabzeichen,2018-09-13
tt7879622,You are everything,* 2018-09-13
tt8014060,"Dorf der Vergesslichen, Das",2018-09-20
tt2119543,"House with a Clock in its Walls, The","2018-09-20 | Haus der geheimnisvollen Uhren, Das"
tt7275822,Klassentreffen 1.0 - Die unglaubliche Reise der Silberrücken,2018-09-20
tt4466494,Et les mistrals gagnants/Everyday Heroes,2018-09-20 | Kleine Helden
tt7668870,Searching,* 2018-09-20
tt7929406,Shut up and play the Piano,2018-09-20
tt6696124,Los Bando,2018-09-20 | Thilda & die beste Bande der Welt
tt7334528,Uncle Drew,2018-09-20
tt1226837,Utøya 22. juli,* 2018-09-20 | Utøya 22. Juli
tt7271882,Wackersdorf,2018-09-20
tt6793580,Campeones,2018-09-20 | Wir sind Champions
tt6231364,Qu'est-ce qu'on attend?,2018-09-20 | Worauf warten wir noch?
tt7776430,Alles ist gut,* 2018-09-27
tt6194530,Ava,2018-09-27
tt6532004,Balkan Dreams - Ein Leben im 9/16 Takt,2018-09-27
tt7125774,Ballon,2018-09-27
tt5432712,La Gatta Cenerentola,2018-09-27 | Cinderella The Cat
tt8150730,Fly Rocket Fly - Mit Macheten zu den Sternen,2018-09-27
tt8832114,Göktasi,* 2018-09-27
tt6450186,I can only imagine,2018-09-27
tt1318517,"Man who killed Don Quixote, The",2018-09-27
tt0486839,Nachlass,* 2018-09-27
tt7147540,Nadel & Faden - Made in India,* 2018-09-27
tt4964788,Everybody knows/Todos lo saben,2018-09-27 | Offenes Geheimnis
tt0989757,"Stille Leuchten, Das",2018-09-27
tt6958212,Sweet Country,2018-09-27
